ts,ts_iso,topic,device_type,device_id,voltage,current_signed,current,power_signed,power,direction,ip,raw_payload
1771243703076,2026-02-16T18:08:23,battery/data,,,,,,,,,,"{""uptime_ms"":2933919,""bus_V"":3.852,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243708075,2026-02-16T18:08:28,battery/data,,,,,,,,,,"{""uptime_ms"":2938920,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243713077,2026-02-16T18:08:33,battery/data,,,,,,,,,,"{""uptime_ms"":2943921,""bus_V"":3.848,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243718077,2026-02-16T18:08:38,battery/data,,,,,,,,,,"{""uptime_ms"":2948922,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243723078,2026-02-16T18:08:43,battery/data,,,,,,,,,,"{""uptime_ms"":2953923,""bus_V"":3.852,""shunt_mV"":-0.030,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243728090,2026-02-16T18:08:48,battery/data,,,,,,,,,,"{""uptime_ms"":2958924,""bus_V"":3.848,""shunt_mV"":-0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243733078,2026-02-16T18:08:53,battery/data,,,,,,,,,,"{""uptime_ms"":2963925,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243738076,2026-02-16T18:08:58,battery/data,,,,,,,,,,"{""uptime_ms"":2968926,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243743079,2026-02-16T18:09:03,battery/data,,,,,,,,,,"{""uptime_ms"":2973927,""bus_V"":3.852,""shunt_mV"":0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243748076,2026-02-16T18:09:08,battery/data,,,,,,,,,,"{""uptime_ms"":2978928,""bus_V"":3.848,""shunt_mV"":0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243753082,2026-02-16T18:09:13,battery/data,,,,,,,,,,"{""uptime_ms"":2983929,""bus_V"":3.852,""shunt_mV"":0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243758080,2026-02-16T18:09:18,battery/data,,,,,,,,,,"{""uptime_ms"":2988930,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
